Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"C9,C16,C8",C_0603_1608Metric,3,0.1uF,
2,R11,R_0603_1608Metric,1,22K,
3,"J2,J3,J1",PinHeader_1x2_P2.54mm,3,M20-9990246,
4,"R2,R3,R8,R7",R_0603_1608Metric,4,10M,
5,"C1,C18,C2",C_0805_2012Metric,3,0.1uF,
6,"C5,C11,C10,C4",C_0805_2012Metric,4,0.047uF,
7,"C17,C19",C_0805_2012Metric,2,3.3uF,
8,C12,C_0805_2012Metric,1,22uF,
9,"C13,C14",C_0603_1608Metric,2,33pF,
10,"R4,R1",R_0603_1608Metric,2,1M,
11,"R15,R16",R_0603_1608Metric,2,100K,
12,"R10,R9",R_0603_1608Metric,2,1K,
13,"D2,D4,D6,D3,D5,D1",Osram_BPW34S-SMD,6,BPW34-SMD,
14,R12,R_0603_1608Metric,1,1.5M,
15,"U3,U1",SO-8_3.9x4.9mm_P1.27mm,2,TLV2772,
16,"R13,R14",R_0603_1608Metric,2,270K,
17,"C6,C7",C_0603_1608Metric,2,4.7pF,
18,R17,R_0603_1608Metric,1,100,
19,R6,R_0603_1608Metric,1,82K,
20,C15,C_0805_2012Metric,1,4.7uF,
21,U4,SOT-23-6,1,LM2665M6,
22,C3,C_0805_2012Metric,1,1uF,
23,R5,R_0603_1608Metric,1,120K,
24,U2,SO-8_3.9x4.9mm_P1.27mm,1,MCP602,
25,D7,D_SOD-123,1,MBR0520,
